dates,gdp,real_gdp,cpi,core_cpi,fedfunds,emratio,wti_oil,divisia_m3,gscpi,gov_total,gov_current,total_par,total_market,private_par,private_market
2001.01,0.01222,0.00622,0.00697,0.00617,5.59,64.30,-0.032813,0.030863,0.00000,0.02331,0.010516,0.00484,0.01323,-0.01312,-0.00564
2001.02,-0.00009,-0.00401,0.00282,0.00677,4.33,63.80,-0.046998,0.027735,-0.10536,0.00569,0.016886,-0.00407,-0.00735,-0.04135,-0.04520
2001.03,0.00587,0.00274,-0.00073,0.00662,3.50,63.50,-0.265376,0.034259,-0.11778,0.01736,0.003762,0.01693,0.03713,0.02194,0.04182
2001.04,0.01148,0.00833,0.00321,0.00546,2.13,63.00,0.057621,0.027663,0.22314,0.02077,0.022279,0.02140,0.00901,0.01282,-0.00209
2002.01,0.00959,0.00611,0.00783,0.00512,1.73,62.80,0.195271,0.016974,-1.20397,0.01301,0.018344,0.01256,0.00364,0.00635,-0.00201
2002.02,0.00883,0.00406,0.00533,0.00525,1.75,62.80,0.075494,0.013948,0.51083,0.01241,0.008526,0.01716,0.02645,0.00654,0.01598
2002.03,0.00702,0.00123,0.00591,0.00449,1.74,62.80,-0.005309,0.017533,0.69315,0.02277,0.016727,0.02246,0.04392,0.02980,0.05340
2002.04,0.01014,0.00526,0.01025,0.00333,1.44,62.50,0.191271,0.018297,-0.51083,0.01677,0.016164,0.02267,0.01598,0.01979,-0.00010
2003.01,0.01233,0.00882,-0.00164,0.00171,1.25,62.50,-0.161210,0.013900,-0.69315,0.01711,0.035241,0.01124,0.01492,0.01313,0.00940
2003.02,0.02220,0.01650,0.00740,0.00399,1.25,62.30,0.039499,0.021682,0.69315,0.00801,0.004217,0.03114,0.02731,0.03946,0.03592
2003.03,0.01762,0.01154,0.00379,0.00258,1.02,62.10,0.031925,0.005819,-1.79176,0.00787,0.014853,0.02308,0.00762,0.03638,0.02309
2003.04,0.01276,0.00565,0.00844,0.00478,1.00,62.20,0.122652,0.004733,1.09861,0.01996,0.015593,0.02351,0.01992,0.02300,0.01929
2004.01,0.01576,0.00772,0.00784,0.00629,1.00,62.30,0.083484,0.018782,0.00000,0.00886,0.008098,0.02008,0.02044,0.03067,0.03080
2004.02,0.01577,0.00944,0.00636,0.00427,1.01,62.30,0.134770,0.019695,-0.40547,0.01677,0.011762,0.01996,0.00176,0.01836,0.00141
2004.03,0.01787,0.01015,0.01066,0.00607,1.43,62.40,0.096636,0.013952,-0.69315,0.01074,0.019263,0.01695,0.02693,0.01793,0.02573
2004.04,0.01898,0.01103,0.00506,0.00618,1.95,62.40,0.028568,0.010673,-0.02904,0.02583,0.028664,0.02625,0.01796,0.02495,0.01582
2005.01,0.01210,0.00492,0.00674,0.00465,2.47,62.40,0.064840,0.007925,-0.02904,0.00943,0.011953,0.02198,0.01444,0.03374,0.02660
2005.02,0.01688,0.00781,0.01502,0.00334,2.94,62.70,0.173357,0.015109,0.51083,0.03136,0.014873,0.01058,0.01567,0.00002,0.00260
2005.03,0.01372,0.00554,0.00927,0.00659,3.46,62.80,-0.049559,0.017180,-1.60944,0.00404,0.012348,0.01624,0.00726,0.01585,0.00742
2005.04,0.02043,0.01337,0.00523,0.00625,3.98,62.80,0.053830,0.016170,1.09861,0.01422,0.029143,0.02367,0.01677,0.02162,0.01466
2006.01,0.01128,0.00258,0.00898,0.00816,4.46,63.00,0.107363,0.008696,-0.40547,0.01165,0.007624,0.02175,0.01208,0.02311,0.01554
2006.02,0.00845,0.00150,0.00940,0.00679,4.91,63.10,-0.001277,0.010879,-0.02904,0.01070,0.009644,-0.01638,0.00267,-0.00497,-0.01063
2006.03,0.01214,0.00856,-0.00414,0.00511,5.25,63.10,-0.158918,0.014434,-0.02904,-0.00029,0.005103,0.04047,0.02729,0.01427,0.02511
2006.04,0.01246,0.00300,0.00979,0.00585,5.25,63.30,-0.033162,0.017734,0.51083,0.04109,0.028062,0.01607,0.01581,0.00881,0.00826
